DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;MOOD;PLAYLISTID;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS
0.6257647322899702;0.6428571428571429;0.6363636363636364;0.2836270110539565;0.9246497538811055;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:4yAVpNElPk8ml1zGwxtwxv;Eminem;Without Me;0.919;0.657;0.0;0.00293
0.5122285528709997;0.5571428571428572;0.9090909090909091;0.13336668803452215;0.5989208633093525;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:5xbVoqGASUuEV2mp5LXrRz;Nik & Jay;En Dag Tilbage;0.748;0.492;5.11E-6;0.522
0.27496453934580467;0.8285714285714286;0.0;0.6159961850560517;0.7062665656948125;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:6ich2xMH5AR39V85miIAN8;Gavin DeGraw;I Don't Want to Be;0.423;0.862;0.0;0.00791
0.6469694871219321;0.44285714285714284;0.45454545454545453;0.3834487718694789;0.5077622112836045;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:5qbV1BltkZE7RUqSPfqQwV;Medina;Velkommen Til Medina;0.722;0.628;0.663;0.00272
0.20357997392388258;0.6428571428571429;0.8181818181818182;0.08175549961694209;0.593241196516471;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:7pXYV6TClH9E8iwrXPp7y2;Craig David;Walking Away;0.603;0.773;0.0;0.155
0.5538739272256635;0.7142857142857143;1.0;0.344001626041683;0.6351760696705793;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:4NeOWqHmlrGRuBvsLJC9rL;Justin Timberlake;My Love;0.772;0.68;1.17E-5;0.277
0.46300391141761427;0.9285714285714286;0.0;1.0;0.6718099204846648;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:5s5t0OFg9lIlBFaCI14K1i;Maroon 5;She Will Be Loved;0.524;0.711;0.0;0.0567
0.3925124291383897;0.9857142857142858;0.45454545454545453;0.48521709219969045;0.51836425596365;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:1mea3bSkSGXuIRvnydlB5b;Coldplay;Viva La Vida;0.485;0.619;3.31E-6;0.0941
0.46440323420269647;0.7285714285714285;0.18181818181818182;0.21027533263496925;0.8542218856493752;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:3xl7PsO7Hzuig6To9FgDm6;Anastacia;Left Outside Alone;0.663;0.746;0.0;0.0697
0.2458605357543687;0.8;0.9090909090909091;0.18959802373395457;0.799697084437713;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:7C86DVl6REN8VPeGEMOf9q;Sean Paul;Get Busy;0.735;0.824;0.0;0.615
0.42715163787627697;0.9285714285714286;0.45454545454545453;0.14119201363373418;0.6001514577811434;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:7vFv0yFGMJW3qVXbAd9BK9;John Mayer;Your Body Is a Wonderland;0.647;0.729;0.0489;0.0206
0.5145830447926567;0.8857142857142857;0.8181818181818182;0.2193670945449429;0.7694055282090118;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:11bD1JtSjlIgKgZG2134DZ;Snow Patrol;Chasing Cars;0.557;0.609;7.69E-5;0.193
0.2090578689221394;0.5571428571428572;0.7272727272727273;0.4227708375678169;0.5636122680802726;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:6wqpsj3Gjty9r6CFs5F6Ig;Nik & Jay;Lækker;0.83;0.863;5.46E-6;0.27
0.44816535888092385;0.8857142857142857;0.09090909090909091;0.6657389890398537;1.0;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi;Destiny's Child;Survivor;0.514;0.911;0.0;0.0559
0.47108941815872046;0.8714285714285714;0.18181818181818182;0.3682280836160666;0.8944528587656191;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:4E6cwWJWZw2zWf7VFbH7wf;Sara Bareilles;Love Song;0.583;0.786;0.0;0.0208
0.30763132381666486;0.8285714285714286;0.0;0.3444472240028769;0.9055282090117379;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:4TmGtGkkmaoXRCvpOwDJoO;Bon Jovi;It's My Life;0.546;0.931;1.67E-5;0.0295
0.5813159365194592;0.2714285714285714;0.9090909090909091;0.5942556950546445;0.3181560015145777;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:2xMNfvnn3RoXtKI1tbR9jF;Rasmus Seebach;Den jeg er;0.678;0.514;0.0;0.0161
0.0;0.5285714285714286;0.36363636363636365;0.18766709923544772;0.817777357061719;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:2hj4INbCeEhiYsuBgAoNc8;Natasja;Op med ho'det;0.839;0.676;0.0;0.0839
0.431101262256014;0.8285714285714286;0.09090909090909091;0.2811254084647978;0.7267133661491859;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:6jBUP2KCe821yqf1hiBqPR;James Morrison;Broken Strings;0.57;0.717;0.0;0.00967
0.09290930191463653;0.8;0.45454545454545453;0.42251285980081;0.8915183642559635;1.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:14iN3o8ptQ8cFVZTEmyQRV;Katy Perry;I Kissed a Girl;0.699;0.76;0.0;0.00223
0.48242727580986405;0.5285714285714286;1.0;0.5012038962460328;0.6500378644452858;0.0;NONE;35FeJC6bSj8GnaPcfH9Xqa;De store fra 00'erne;Sangene vi husker fra 2000-2009.;spotify:track:2T2hT13BvTfO5NQIxYdkf8;Anna David;f**k Dig;0.681;0.6;0.0;0.229
