DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;PLAYLISTID;MOOD;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS;VALENCE;LIVENESS;SPEECHINESS
0.27678027140142103;0.2222222222222222;1.0;0.7116814855426569;0.8819900012193636;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:70WYUK1HKXHfwoDexKQHvd;Nicki Minaj;Bed Of Lies;0.516;0.644;0.0;0.27;0.12;0.12;0.334
0.2613096732220338;0.5252525252525253;0.6363636363636364;0.7117887535458034;0.8062431410803561;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:17t9XLz4mUPb5FtXNdwusj;Maria Mena;Leaving You;0.569;0.509;0.00258;0.601;0.11;0.184;0.0937
0.22420457048599193;0.7878787878787878;0.18181818181818182;0.5298979762103405;0.8075356663821485;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:6Vc5wAMmXdKIAM7WUoEb7N;A Great Big World;Say Something;0.407;0.147;2.89E-6;0.857;0.0796;0.0913;0.0355
0.20387123544508706;0.9595959595959596;0.09090909090909091;0.24781888393602058;0.9351054749420802;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:0NmeI6UpRE27dxxgosD5n9;Meghan Trainor;NO;0.742;0.809;2.77E-6;0.0116;0.641;0.726;0.176
0.2433635231982132;0.7272727272727273;0.36363636363636365;0.4195311196395795;0.8146079746372394;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:3JvKfv6T31zO0ini8iNItO;Tom Odell;Another Love;0.445;0.537;1.6E-5;0.695;0.126;0.0944;0.04
0.27563662536051103;0.8383838383838383;0.7272727272727273;0.40264236847750945;0.8504084867699061;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:3U4isOIWM3VvDubwSI3y7a;John Legend;All of Me;0.422;0.264;0.0;0.922;0.331;0.132;0.0322
0.24481453211685936;0.7777777777777778;0.2727272727272727;0.4094360086767895;0.8811852213144739;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:4nVBt6MZDDP6tRVdQTgxJg;One Direction;Story of My Life;0.6;0.663;0.0;0.225;0.291;0.119;0.0477
0.17036483973587283;0.7878787878787878;0.36363636363636365;0.19231961097470857;0.931959517132057;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:2c1EGwagV1sT73NimGsqIh;Peg Parnevik;Ain't No Saint;0.55;0.763;1.3E-4;0.016;0.523;0.344;0.0363
0.22222336060325087;0.7272727272727273;0.6363636363636364;0.7359955662558698;0.909596390684063;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:6RX5iL93VZ5fKmyvNXvF1r;Beyoncé;Irreplaceable;0.447;0.694;5.46E-6;0.0293;0.503;0.167;0.382
0.2557425630990374;0.7171717171717171;0.09090909090909091;0.648041763009225;0.9732471649798805;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi;Destiny's Child;Survivor;0.514;0.911;0.0;0.0559;0.614;0.775;0.41
